ticker,full_name,market_cap,percent_change
AAPL,Apple Inc.,3225904480256,0.98
ABNB,"Airbnb, Inc.",78329233408,1.21
ADBE,Adobe Inc.,168918335488,-0.76
ADI,"Analog Devices, Inc.",104665817088,0.89
ADP,"Automatic Data Processing, Inc.",121963659264,1.29
ADSK,"Autodesk, Inc.",57241616384,3.38
AEP,"American Electric Power Company, Inc.",56555343872,0.0
AMAT,"Applied Materials, Inc.",125798367232,0.87
AMGN,Amgen Inc.,169536520192,-0.96
ANSS,"ANSYS, Inc.",28364562432,-0.07
APP,AppLovin Corporation,100683939840,6.21
ARM,Arm Holdings plc,124888457216,-1.05
ASML,ASML Holding N.V.,289843445760,0.88
AVGO,Broadcom Inc.,921723273216,3.9
AXON,"Axon Enterprise, Inc.",44005728256,4.93
AZN,AstraZeneca PLC,236803194880,-0.9
BIIB,Biogen Inc.,20724506624,-1.05
BKNG,Booking Holdings Inc.,151373234176,3.16
BKR,Baker Hughes Company,44120383488,1.99
CCEP,Coca-Cola Europacific Partners PLC,39394189312,0.08
CDNS,"Cadence Design Systems, Inc.",71141990400,2.18
CDW,CDW Corporation,22901243904,1.22
CEG,Constellation Energy Corporation,68037967872,3.33
CHTR,"Charter Communications, Inc.",50121711616,-0.43
COST,Costco Wholesale Corporation,401124950016,0.7
CRWD,"CrowdStrike Holdings, Inc.",93401022464,3.76
CSCO,"Cisco Systems, Inc.",243471351808,1.53
CSGP,"CoStar Group, Inc.",33574445056,1.59
CSX,CSX Corporation,57047011328,-0.45
CTAS,Cintas Corporation,79191474176,1.43
CTSH,Cognizant Technology Solutions Corporation,39440678912,0.28
DASH,"DoorDash, Inc.",80200531968,3.12
DDOG,"Datadog, Inc.",35674877952,1.11
DXCM,"DexCom, Inc.",28733464576,4.07
EA,Electronic Arts Inc.,37091155968,0.33
EXC,Exelon Corporation,44717211648,0.16
FANG,"Diamondback Energy, Inc.",45714309120,1.88
FAST,Fastenal Company,43828858880,0.46
FTNT,"Fortinet, Inc.",75555536896,1.43
GFS,GLOBALFOUNDRIES Inc.,21338009600,-0.13
GILD,"Gilead Sciences, Inc.",133302263808,-2.71
GOOGL,Alphabet Inc.,2019571400704,2.55
HON,Honeywell International Inc.,136242520064,-0.09
IDXX,"IDEXX Laboratories, Inc.",34264383488,0.45
INTU,Intuit Inc.,168554905600,0.65
ISRG,"Intuitive Surgical, Inc.",175719563264,1.34
KDP,Keurig Dr Pepper Inc.,45308665856,-0.58
KHC,The Kraft Heinz Company,35700326400,-1.66
KLAC,KLA Corporation,95945080832,1.63
LIN,Linde plc,217045319680,-0.38
LULU,Lululemon Athletica Inc.,40090075136,1.83
MAR,"Marriott International, Inc.",68126994432,2.82
MDB,"MongoDB, Inc.",15280834560,0.68
MDLZ,"Mondelez International, Inc.",82624225280,-1.18
MELI,"MercadoLibre, Inc.",104771502080,3.19
META,"Meta Platforms, Inc.",1485814104064,0.73
MNST,Monster Beverage Corporation,55202443264,-0.13
MSTR,MicroStrategy Incorporated,79341862912,7.62
MU,"Micron Technology, Inc.",114191278080,0.83
NFLX,"Netflix, Inc.",410646708224,3.23
NXPI,NXP Semiconductors N.V.,52836655104,0.57
ODFL,"Old Dominion Freight Line, Inc.",34518368256,0.25
ON,ON Semiconductor Corporation,18435061760,0.74
ORLY,"O'Reilly Automotive, Inc.",76501606400,-0.22
PANW,"Palo Alto Networks, Inc.",124514516992,2.73
PAYX,"Paychex, Inc.",53141696512,0.41
PCAR,PACCAR Inc,52293992448,-0.54
PEP,"PepsiCo, Inc.",202707714048,-0.78
PYPL,"PayPal Holdings, Inc.",69291450368,1.77
QCOM,QUALCOMM Incorporated,175388360704,1.54
REGN,"Regeneron Pharmaceuticals, Inc.",73448366080,1.03
ROP,"Roper Technologies, Inc.",61847318528,-0.16
ROST,"Ross Stores, Inc.",41689829376,2.21
SBUX,Starbucks Corporation,112468426752,0.75
SNPS,"Synopsys, Inc.",69665587200,0.43
TEAM,Atlassian Corporation,60378554368,5.0
TMUS,"T-Mobile US, Inc.",296332918784,-0.44
TTD,"The Trade Desk, Inc.",27374190592,3.04
TTWO,"Take-Two Interactive Software, Inc.",37012975616,2.55
TXN,Texas Instruments Incorporated,165621006336,1.49
VRSK,"Verisk Analytics, Inc.",40677236736,0.36
VRTX,Vertex Pharmaceuticals Incorporated,131711434752,0.12
WDAY,"Workday, Inc.",67348541440,0.56
ZS,"Zscaler, Inc.",31613411328,1.31
